x1,x2,µA1,µA2,µB1,µB2,output
2.8,2.8,0.431001844559085,0.1428814230082991,0.4325185196094689,0.1429920403498536,2.7999999991522238
2.8,2.6,0.431001844559085,0.1428814230082991,0.6196762753346853,0.17975291021583908,2.6998452160830793
2.6,2.1,0.61775401981211,0.17953608504302468,0.9854194561601862,0.3521964572825424,2.3432235735645213
2.1,1.5,0.9859647331021882,0.35127663695081346,0.4067411466298452,0.8498799858599185,1.739704239864138
1.5,0.9,0.40725551691905265,0.847362949548041,0.15970774818273936,0.789952718171862,1.1475195313729656
0.9,0.5,0.15973622382892536,0.7935130686038615,0.09893843115772263,0.43502627548542866,0.6742900496046254
0.5,0.3,0.09891173326602927,0.4378270862334928,0.08049320522446635,0.32184249428269435,0.3875808609128731
0.3,0.4,0.08045819551806536,0.32393702747964337,0.08902668560812084,0.37333239237304716,0.35659622270375885
0.4,0.6,0.08899496222946927,0.37576280250702193,0.11052733891402401,0.5082564909643821,0.5137965869665275
0.6,1.0,0.1105080629244182,0.5114357175743725,0.18302284799026278,0.8854584914309025,0.8277695913314932
1.0,1.5,0.18308190604449376,0.8884377325594667,0.4067411466298452,0.8498799858599185,1.262756548481633
1.5,2.0,0.40725551691905265,0.847362949548041,0.9160880509305466,0.40974426975162936,1.7238016225105008
